epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4273,2.5926,4.5196,2.092,0.00125,0.16667,0.00076,0.00039,2.15877,4.19838,1.82479,2e-05,2e-05,2e-05
2,20.2936,2.62448,4.47683,2.14993,0.00208,0.27778,0.00136,0.0007,2.0512,4.18358,1.74011,5.9406e-05,5.9406e-05,5.9406e-05
3,27.8561,2.54085,4.26602,2.09912,0.00292,0.38889,0.00271,0.00131,1.87691,4.2005,1.63755,9.802e-05,9.802e-05,9.802e-05
4,35.301,2.55977,4.22268,2.04195,0.00417,0.55556,0.00468,0.0018,1.942,4.08096,1.66467,0.000135842,0.000135842,0.000135842
5,42.8233,2.04452,3.85677,1.74468,0.00458,0.61111,0.00606,0.00222,1.90533,4.08712,1.61736,0.000172872,0.000172872,0.000172872
6,50.454,2.31119,3.88888,1.97455,0.00458,0.61111,0.03329,0.00491,1.9764,3.98967,1.59215,0.00020911,0.00020911,0.00020911
7,58.1596,2.21719,3.68028,1.84716,0.00458,0.61111,0.09012,0.0104,1.90978,3.92959,1.55113,0.000244556,0.000244556,0.000244556
8,65.8579,2.39226,2.84855,1.78107,0.005,0.66667,0.07523,0.02706,1.87015,3.85637,1.51199,0.00027921,0.00027921,0.00027921
9,73.5187,2.08837,2.69987,1.65947,0.005,0.66667,0.07356,0.02677,1.84332,3.86317,1.51423,0.000313072,0.000313072,0.000313072
10,81.1825,2.05443,2.61342,1.70565,0.005,0.66667,0.0427,0.01418,1.78765,3.889,1.53802,0.000346142,0.000346142,0.000346142
11,88.9749,2.11842,2.65326,1.69308,0.00458,0.61111,0.06408,0.02509,1.80565,3.89113,1.56697,0.00037842,0.00037842,0.00037842
12,96.7479,1.90304,2.73125,1.61129,0.00458,0.61111,0.06277,0.02455,1.91762,3.90094,1.58607,0.000409906,0.000409906,0.000409906
13,104.461,1.9363,2.61405,1.59705,0.00417,0.55556,0.0704,0.02464,1.93697,3.84378,1.61229,0.0004406,0.0004406,0.0004406
14,112.364,1.81519,2.57438,1.50015,0.00458,0.61111,0.06775,0.02531,1.93587,3.77201,1.60169,0.000470502,0.000470502,0.000470502
15,120.203,1.67099,2.21164,1.40279,0.00458,0.61111,0.08262,0.02741,1.93779,3.68562,1.53803,0.000499612,0.000499612,0.000499612
16,128.441,2.02734,2.26945,1.53732,0.005,0.66667,0.08665,0.02183,1.89677,3.68118,1.47925,0.00052793,0.00052793,0.00052793
17,136.057,1.97608,2.26421,1.48734,0.005,0.66667,0.08503,0.01954,1.8941,3.61244,1.42792,0.000555456,0.000555456,0.000555456
18,143.819,1.77375,2.16879,1.39218,0.00542,0.72222,0.09118,0.03078,1.9064,3.66799,1.46005,0.00058219,0.00058219,0.00058219
19,151.698,1.81974,2.1183,1.43403,0.005,0.66667,0.12921,0.05494,1.89264,3.61395,1.49101,0.000608132,0.000608132,0.000608132
20,159.991,1.84807,2.2062,1.44056,0.00542,0.72222,0.154,0.05663,1.85696,3.58006,1.38977,0.000633282,0.000633282,0.000633282
21,168.17,1.86314,2.14216,1.51779,0.00583,0.77778,0.21725,0.10586,1.85436,3.61238,1.42528,0.00065764,0.00065764,0.00065764
22,175.742,1.79687,2.0341,1.51952,0.00458,0.61111,0.27762,0.12554,1.86986,3.70897,1.5281,0.000681206,0.000681206,0.000681206
23,183.337,1.92171,1.99087,1.58038,0.00417,0.55556,0.27801,0.13686,1.84325,3.72267,1.52595,0.00070398,0.00070398,0.00070398
24,190.837,1.81959,1.91444,1.47579,0.00417,0.55556,0.23106,0.11344,1.80415,3.75703,1.51046,0.000725962,0.000725962,0.000725962
25,198.272,1.74321,1.8088,1.46551,0.00458,0.61111,0.228,0.13582,1.89812,3.64129,1.43772,0.000747152,0.000747152,0.000747152
26,205.957,1.82012,2.16405,1.45884,0.00375,0.5,0.23109,0.14702,1.84254,3.64708,1.45814,0.00076755,0.00076755,0.00076755
27,214.114,1.79765,2.07625,1.45423,0.67169,0.33333,0.35257,0.15856,1.83562,3.7156,1.52551,0.000787156,0.000787156,0.000787156
28,221.697,1.91098,2.01191,1.50817,0.67169,0.33333,0.35257,0.15856,1.83562,3.7156,1.52551,0.00080597,0.00080597,0.00080597
29,229.185,1.89083,1.90936,1.43126,0.77368,0.33333,0.36025,0.17028,1.94722,3.58488,1.59704,0.000823992,0.000823992,0.000823992
30,236.697,1.86239,1.90493,1.42539,0.00746,0.5,0.40759,0.18021,1.938,3.45445,1.52403,0.000841222,0.000841222,0.000841222
31,244.649,1.79368,1.82747,1.51279,0.00746,0.5,0.40759,0.18021,1.938,3.45445,1.52403,0.00085766,0.00085766,0.00085766
32,252.328,1.73365,1.67363,1.35631,0.67464,0.23153,0.32251,0.12043,2.01086,3.43821,1.53161,0.000873306,0.000873306,0.000873306
33,259.9,1.61235,1.66603,1.35294,1,0.20871,0.3339,0.12454,1.92453,3.31859,1.54758,0.00088816,0.00088816,0.00088816
34,267.347,1.87954,1.83934,1.45922,1,0.20871,0.3339,0.12454,1.92453,3.31859,1.54758,0.000902222,0.000902222,0.000902222
35,274.889,1.66045,1.6731,1.35396,1,0.26673,0.35764,0.12974,1.97343,3.36283,1.64203,0.000915492,0.000915492,0.000915492
36,282.508,1.54764,1.80898,1.28183,1,0.19448,0.28695,0.1255,1.93303,3.43907,1.57952,0.00092797,0.00092797,0.00092797
37,290.368,1.59735,1.66919,1.31894,1,0.19448,0.28695,0.1255,1.93303,3.43907,1.57952,0.000939656,0.000939656,0.000939656
38,297.771,1.62602,1.60113,1.32471,0.03921,0.16667,0.02143,0.00797,2.04513,5.11163,1.67026,0.00095055,0.00095055,0.00095055
39,305.181,1.75239,1.57874,1.4158,0.03653,0.27778,0.02481,0.00892,2.14501,5.80748,1.77752,0.000960652,0.000960652,0.000960652
40,312.778,1.60721,1.82929,1.38725,0.03653,0.27778,0.02481,0.00892,2.14501,5.80748,1.77752,0.000969962,0.000969962,0.000969962
41,320.334,1.55601,1.59187,1.33386,0.08853,0.2322,0.0655,0.0256,2.08004,3.30735,1.69115,0.00097848,0.00097848,0.00097848
42,328.033,1.63715,1.61225,1.4212,0.81039,0.38889,0.64369,0.27901,1.86812,2.50163,1.45474,0.000986206,0.000986206,0.000986206
43,336.656,1.71874,1.44434,1.39476,0.81039,0.38889,0.64369,0.27901,1.86812,2.50163,1.45474,0.00099314,0.00099314,0.00099314
44,344.542,1.58291,1.41442,1.37545,0.76229,0.44444,0.63434,0.26877,1.98843,2.47413,1.52613,0.000999282,0.000999282,0.000999282
45,352.086,1.49376,1.52628,1.28308,0.76229,0.44444,0.63434,0.26877,1.98843,2.47413,1.52613,0.00100463,0.00100463,0.00100463
46,359.738,1.50741,1.59616,1.29912,0.77362,0.5,0.62836,0.26724,1.95863,2.45455,1.48884,0.00100919,0.00100919,0.00100919
47,368.675,1.56086,1.57483,1.32515,0.77362,0.5,0.62836,0.26724,1.95863,2.45455,1.48884,0.00101296,0.00101296,0.00101296
48,378.085,1.69063,1.58008,1.31447,0.72567,0.55556,0.70349,0.2603,2.00795,2.23036,1.56481,0.00101593,0.00101593,0.00101593
49,386.375,1.58137,1.62334,1.31565,0.72567,0.55556,0.70349,0.2603,2.00795,2.23036,1.56481,0.00101811,0.00101811,0.00101811
50,394.131,1.57647,1.4619,1.30982,0.65246,0.61111,0.70792,0.25145,2.07545,2.02497,1.56419,0.0010195,0.0010195,0.0010195
51,401.716,1.60003,1.44998,1.31574,0.65246,0.61111,0.70792,0.25145,2.07545,2.02497,1.56419,0.00101,0.00101,0.00101
52,409.781,1.54461,1.47805,1.33917,0.66113,0.55556,0.58906,0.20969,2.13767,2.20323,1.67294,0.0009902,0.0009902,0.0009902
53,418.191,1.78927,1.61201,1.41582,0.66113,0.55556,0.58906,0.20969,2.13767,2.20323,1.67294,0.0009704,0.0009704,0.0009704
54,426.743,1.6162,1.39319,1.26625,0.8035,0.55556,0.70265,0.23531,2.03002,2.21353,1.61277,0.0009506,0.0009506,0.0009506
55,435.266,1.53113,1.34005,1.21939,0.8035,0.55556,0.70265,0.23531,2.03002,2.21353,1.61277,0.0009308,0.0009308,0.0009308
56,443.935,1.61032,1.58826,1.30924,0.57614,0.77778,0.69031,0.29766,1.91799,2.01066,1.5076,0.000911,0.000911,0.000911
57,451.922,1.64148,1.4415,1.2897,0.57614,0.77778,0.69031,0.29766,1.91799,2.01066,1.5076,0.0008912,0.0008912,0.0008912
58,459.383,1.59719,1.39891,1.30681,0.54391,0.72222,0.68132,0.28277,1.97063,1.97537,1.54179,0.0008714,0.0008714,0.0008714
59,467.093,1.50938,1.4326,1.23916,0.54391,0.72222,0.68132,0.28277,1.97063,1.97537,1.54179,0.0008516,0.0008516,0.0008516
60,474.724,1.58348,1.33023,1.23896,0.75297,0.5,0.67416,0.28198,1.99397,1.97373,1.54338,0.0008318,0.0008318,0.0008318
61,482.678,1.30637,1.38307,1.20327,0.75297,0.5,0.67416,0.28198,1.99397,1.97373,1.54338,0.000812,0.000812,0.000812
62,490.508,1.41474,1.3238,1.22618,0.6725,0.57111,0.66971,0.27752,2.02126,1.99461,1.53952,0.0007922,0.0007922,0.0007922
63,498.726,1.55228,1.23759,1.23577,0.6725,0.57111,0.66971,0.27752,2.02126,1.99461,1.53952,0.0007724,0.0007724,0.0007724
64,507.138,1.51411,1.26878,1.27193,0.87264,0.5,0.67269,0.2812,1.95814,1.92933,1.48871,0.0007526,0.0007526,0.0007526
65,515.206,1.57115,1.22302,1.22884,0.87264,0.5,0.67269,0.2812,1.95814,1.92933,1.48871,0.0007328,0.0007328,0.0007328
66,523.384,1.49139,1.35126,1.25595,0.89423,0.47114,0.6648,0.27023,2.07941,1.9856,1.53732,0.000713,0.000713,0.000713
67,531.607,1.50145,1.42368,1.34451,0.89423,0.47114,0.6648,0.27023,2.07941,1.9856,1.53732,0.0006932,0.0006932,0.0006932
68,539.696,1.3583,1.19619,1.1811,0.76645,0.55556,0.65984,0.23909,2.13395,2.00472,1.56743,0.0006734,0.0006734,0.0006734
69,547.792,1.47761,1.28963,1.19806,0.76645,0.55556,0.65984,0.23909,2.13395,2.00472,1.56743,0.0006536,0.0006536,0.0006536
70,555.394,1.46563,1.25767,1.24996,0.61446,0.72222,0.6952,0.25917,2.11935,1.95379,1.59027,0.0006338,0.0006338,0.0006338
71,563.323,1.38734,1.26953,1.22911,0.61446,0.72222,0.6952,0.25917,2.11935,1.95379,1.59027,0.000614,0.000614,0.000614
72,571.728,1.44647,1.30702,1.27736,0.79948,0.66464,0.75238,0.29497,2.12992,1.80493,1.57086,0.0005942,0.0005942,0.0005942
73,579.75,1.42119,1.22292,1.2092,0.79948,0.66464,0.75238,0.29497,2.12992,1.80493,1.57086,0.0005744,0.0005744,0.0005744
74,587.963,1.38226,1.22766,1.20014,0.78916,0.77778,0.77824,0.31975,2.15573,1.73404,1.57725,0.0005546,0.0005546,0.0005546
75,595.953,1.32854,1.11735,1.12464,0.78916,0.77778,0.77824,0.31975,2.15573,1.73404,1.57725,0.0005348,0.0005348,0.0005348
76,603.342,1.37824,1.13193,1.18746,0.82164,0.76829,0.7994,0.35422,2.01123,1.62127,1.49226,0.000515,0.000515,0.000515
77,610.829,1.41645,1.17426,1.18822,0.82164,0.76829,0.7994,0.35422,2.01123,1.62127,1.49226,0.0004952,0.0004952,0.0004952
78,618.624,1.39592,1.18857,1.26644,0.755,0.77778,0.79567,0.34545,2.02507,1.58844,1.50186,0.0004754,0.0004754,0.0004754
79,626.861,1.28478,1.17823,1.14669,0.755,0.77778,0.79567,0.34545,2.02507,1.58844,1.50186,0.0004556,0.0004556,0.0004556
80,634.644,1.23485,1.0152,1.10485,0.76244,0.71367,0.74194,0.33264,2.1238,1.56913,1.55408,0.0004358,0.0004358,0.0004358
81,642.478,1.37413,1.27562,1.23363,0.76244,0.71367,0.74194,0.33264,2.1238,1.56913,1.55408,0.000416,0.000416,0.000416
82,650.416,1.14423,1.02528,1.11746,0.66528,0.77778,0.74029,0.31866,2.21833,1.59212,1.59827,0.0003962,0.0003962,0.0003962
83,658.692,1.34601,1.18266,1.2145,0.66528,0.77778,0.74029,0.31866,2.21833,1.59212,1.59827,0.0003764,0.0003764,0.0003764
84,666.734,1.30147,1.07627,1.1162,0.67936,0.70686,0.73678,0.31375,2.27173,1.66383,1.63923,0.0003566,0.0003566,0.0003566
85,674.452,1.29793,1.17985,1.16684,0.67936,0.70686,0.73678,0.31375,2.27173,1.66383,1.63923,0.0003368,0.0003368,0.0003368
86,682.302,1.26005,1.15554,1.20144,0.977,0.55556,0.73072,0.28169,2.34076,1.72153,1.73837,0.000317,0.000317,0.000317
87,690.197,1.40972,1.19904,1.24623,0.977,0.55556,0.73072,0.28169,2.34076,1.72153,1.73837,0.0002972,0.0002972,0.0002972
88,697.731,1.28592,1.20642,1.14296,0.93147,0.55556,0.72275,0.25315,2.38999,1.71951,1.81915,0.0002774,0.0002774,0.0002774
89,706.51,1.28368,1.17789,1.22824,0.93147,0.55556,0.72275,0.25315,2.38999,1.71951,1.81915,0.0002576,0.0002576,0.0002576
90,714.468,1.29129,1.16703,1.19807,0.91543,0.60207,0.73154,0.24924,2.42315,1.72222,1.86945,0.0002378,0.0002378,0.0002378
